Altium Designer Pick and Place Locations
C:\Users\2233646\Desktop\dev\243-TEP_Altium-Lib\Projet-Exemple\.\Generate Files\Generates pick and place files\243-TGE-Lab1_PCB1_Capteurs.csv

========================================================================================================================
File Design Information:

Date:       24-09-26
Time:       11:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C3","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","27.1000","45.8000","270","Capacitor type 1"
"C2","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","15.7000","46.7000","0","Capacitor type 1"
"C1","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","26.0000","32.5000","180","Capacitor type 1"
"C4","CAP CER 2.2uF 10V X7R 0603","TopLayer","C_1608[0603]","28.7000","45.7750","270","Capacitor type 1"
"MH4","DNP","TopLayer","MP_M-Hole_M2-NonPlated","2.5000","69.5000","90","Mounting Hole 2mm non plated"
"MH3","DNP","TopLayer","MP_M-Hole_M2-NonPlated","37.5000","2.5000","90","Mounting Hole 2mm non plated"
"MH2","DNP","TopLayer","MP_M-Hole_M2-NonPlated","37.5000","62.0000","90","Mounting Hole 2mm non plated"
"MH1","DNP","TopLayer","MP_M-Hole_M2-NonPlated","2.5000","2.5000","0","Mounting Hole 2mm non plated"
"Fid3","DNP","TopLayer","FD_Fiducial","37.2500","27.2500","90","Fiducial mark for alignement and Pick&Place"
"Fid2","DNP","TopLayer","FD_Fiducial","2.5000","49.5000","90","Fiducial mark for alignement and Pick&Place"
"Fid1","DNP","TopLayer","FD_Fiducial","19.2500","2.7500","0","Fiducial mark for alignement and Pick&Place"
"BRK3","DNP","TopLayer","BK_CRACK1B_M","19.3250","7.1750","0","Mouse Bites"
"BRK2","DNP","TopLayer","BK_CRACK1B_M","32.4000","49.6750","90","Mouse Bites"
"BRK1","DNP","TopLayer","BK_CRACK1B_M","7.0000","49.6750","270","Mouse Bites"
"S1","DSHP04TSGER","TopLayer","S_DIP_SWITCH_50MIL_4POS","20.3650","34.8750","180","SWITCH DIP SLIDE SPST 25MA 24V, pitch 1.27mm, height 1.55mm"
"P3","ESQ-108-14-T-S","TopLayer","CONN_SKT_01X08_100MIL-ELEVATED-LONGPIN","31.1413","19.8724","270","CONN SOCKET 8pos 100mils Elevated"
"P2","ESQ-108-14-T-S","TopLayer","CONN_SKT_01X08_100MIL-ELEVATED-LONGPIN","8.2827","19.8902","270","CONN SOCKET 8pos 100mils Elevated"
"J2","HC-ZH-10PWT","BottomLayer","J_S10B-ZR-SM4","20.0000","59.5500","0","CONN wire to board SMT R/A 10POS 1.5mm"
"J1","HC-ZH-10PWT","TopLayer","J_S10B-ZR-SM4","20.0200","59.6050","180","CONN wire to board SMT R/A 10POS 1.5mm"
"U3","MCP3423-E/UN","TopLayer","U_MSOP50P300X500-10(RM-10)_WO-TP","26.5000","36.7250","0","CAN Controller Stand-Alone With SPI, 18-Pin PDIP"
"MB1","mikroBUS","TopLayer","mikroBUS-Large-No-Connector","-28.7300","-34.2350","0","mikroBUS compatible add-on board"
"SB3","Open","BottomLayer","SB-TINY-OPEN","9.6000","40.8750","180","Solder Jumper"
"SB2","Open","BottomLayer","SB-TINY-OPEN","9.6000","37.6750","180","Solder Jumper"
"SB1","Open","BottomLayer","SB-TINY-OPEN","9.6000","43.9750","180","Solder Jumper"
"U2","PCAL6416APW,118","TopLayer","U_TSSOP24_SOT355-1-IPC_B","22.0828","45.2232","180","IC I/O EXPANDER 16BIT 24TSSOP"
"R24","Res 100R 1% 0603","BottomLayer","R_1608[0603]","25.9000","53.3750","90","Resistor type 1"
"R23","Res 100R 1% 0603","BottomLayer","R_1608[0603]","24.4000","53.3750","90","Resistor type 1"
"R22","Res 100R 1% 0603","BottomLayer","R_1608[0603]","22.9000","53.3750","90","Resistor type 1"
"R21","Res 100R 1% 0603","BottomLayer","R_1608[0603]","21.4000","53.3750","90","Resistor type 1"
"R20","Res 100R 1% 0603","BottomLayer","R_1608[0603]","19.9000","53.3750","90","Resistor type 1"
"R19","Res 100R 1% 0603","BottomLayer","R_1608[0603]","18.4000","53.3750","90","Resistor type 1"
"R18","Res 100R 1% 0603","BottomLayer","R_1608[0603]","16.9000","53.3750","90","Resistor type 1"
"R17","Res 100R 1% 0603","BottomLayer","R_1608[0603]","15.4000","53.3750","90","Resistor type 1"
"R16","Res 100R 1% 0603","TopLayer","R_1608[0603]","16.3000","53.7750","90","Resistor type 1"
"R15","Res 100R 1% 0603","TopLayer","R_1608[0603]","17.8000","53.7750","90","Resistor type 1"
"R14","Res 100R 1% 0603","TopLayer","R_1608[0603]","19.3000","53.7750","90","Resistor type 1"
